ID,MODEL,MANUFACTURER_ID,DIM_WIDTH,DIM_HEIGHT,DIM_DEPTH,DIM_WEIGHT,MAX_OPERATING_TEMPERATURE,MIN_OPERATING_TEMPERATURE,COOLING_MODE,PROTECTION_DEGREE,TOPOLOGY,RATED_ACTIVE_POWER,MAX_ACTIVE_POWER,RATED_OUTPUT_VOLTAGE,RATED_OUTPUT_CURRENT,MAX_OUTPUT_CURRENT,OVERLOAD,NUMBER_OF_TRACKERS,NUMBER_OF_INPUTS,ACTIVE
1,SUN2000L-2KTL,2,375.0,375.0,149.5,11.6,60,-30,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,2000,2200,220.0,10.0,10.0,50,2,2,0
2,SUN2000L-3KTL,2,375.0,375.0,149.5,11.6,60,-30,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,3000,3300,220.0,15.0,15.0,50,2,2,0
3,SUN2000L-3.68KTL,2,375.0,375.0,149.5,11.6,60,-30,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,3680,3680,220.0,16.0,16.0,50,2,2,0
4,SUN2000L-4KTL,2,375.0,375.0,149.5,11.6,60,-30,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,4000,4400,220.0,20.0,20.0,50,2,2,0
5,SUN2000L-4.6KTL,2,375.0,375.0,149.5,11.6,60,-30,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,4600,5000,220.0,23.0,23.0,50,2,2,0
6,SUN2000L-5KTL,2,375.0,375.0,149.5,11.6,60,-30,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,5000,5500,220.0,25.0,25.0,50,2,2,0
7,SUN2000-8KTL,2,520.0,610.0,266.0,42.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,8000,8800,380.0,13.4,13.4,50,2,4,0
8,SUN2000-10KTL,2,520.0,610.0,266.0,42.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,10000,11000,380.0,17.0,17.0,50,2,4,0
9,SUN2000-12KTL,2,520.0,610.0,266.0,42.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,12000,13200,380.0,20.0,20.0,50,2,4,0
10,SUN2000-15KTL,2,520.0,610.0,266.0,50.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,15000,16500,380.0,25.2,25.2,50,3,6,0
11,SUN2000-17KTL,2,520.0,610.0,266.0,50.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,17000,18700,380.0,28.5,28.5,50,3,6,0
12,SUN2000-20KTL,2,520.0,610.0,266.0,50.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,20000,22000,380.0,33.5,33.5,50,3,6,0
13,SUN2000-23KTL,2,520.0,610.0,266.0,50.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,23000,23000,380.0,33.5,33.5,50,3,6,0
14,SUN2000-28KTL,2,520.0,610.0,266.0,50.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,27500,27500,480.0,33.5,33.5,50,3,6,0
15,SUN2000-29.9KTL,2,930.0,550.0,283.0,62.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,29900,29900,380.0,43.2,43.2,50,4,8,0
16,SUN2000-33KTL-A,2,930.0,550.0,283.0,62.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,30000,33000,380.0,48.0,48.0,50,4,8,0
17,SUN2000-36KTL,2,930.0,550.0,283.0,62.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,36000,40000,380.0,60.8,60.8,50,4,8,0
18,SUN2000-42KTL,2,930.0,550.0,283.0,62.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,42000,47000,480.0,56.6,56.6,50,4,8,0
19,SUN2000-8KTL-M0,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,8000,8800,380.0,12.8,13.4,50,2,4,0
20,SUN2000-10KTL-M0,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,10000,11000,380.0,15.9,17.0,50,2,4,0
21,SUN2000-12KTL-M0,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,12000,13200,380.0,18.2,20.0,50,2,4,0
22,SUN2000-15KTL-M0,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,15000,16500,380.0,22.8,25.2,50,2,4,0
23,SUN2000-17KTL-M0,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,17000,18700,380.0,25.8,28.5,50,2,4,0
24,SUN2000-20KTL-M0,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,20000,22000,380.0,30.4,33.5,50,2,4,0
25,SUN2000-8KTL-M2,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,8000,8800,380.0,12.8,13.4,50,2,4,0
26,SUN2000-10KTL-M2,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,10000,11000,380.0,15.9,17.0,50,2,4,0
27,SUN2000-12KTL-M2,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,12000,13200,380.0,18.2,20.0,50,2,4,0
28,SUN2000-15KTL-M2,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,15000,16500,380.0,22.8,25.5,50,2,4,0
29,SUN2000-17KTL-M2,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,17000,18700,380.0,25.8,28.5,50,2,4,0
30,SUN2000-20KTL-M2,2,525.0,470.0,262.0,25.0,60,-25,CONVECÇÃO NATURAL,IP65,TRANSFORMERLESS,20000,22000,380.0,30.4,33.5,50,2,4,0
31,SUN2000-20KTL-M3,2,640.0,530.0,270.0,43.0,60,-25,CONVECÇÃO NATURAL,IP66,TRANSFORMERLESS,20000,22000,220.0,52.5,58.0,50,4,8,0
32,SUN2000-29.9KTL-M3,2,640.0,530.0,270.0,43.0,60,-25,CONVECÇÃO NATURAL,IP66,TRANSFORMERLESS,29900,29900,380.0,43.2,43.2,50,4,8,0
33,SUN2000-30KTL-M3,2,640.0,530.0,270.0,43.0,60,-25,CONVECÇÃO NATURAL,IP66,TRANSFORMERLESS,30000,33000,380.0,45.6,50.4,50,4,8,0
