ID,INVERTER_ID,SYSTEM_TYPE
1,1,ON-GRID
2,1,HYBRID
3,2,ON-GRID
4,2,HYBRID
5,3,ON-GRID
6,3,HYBRID
7,4,ON-GRID
8,4,HYBRID
9,5,ON-GRID
10,5,HYBRID
11,6,ON-GRID
12,6,HYBRID
13,7,ON-GRID
14,8,ON-GRID
15,9,ON-GRID
16,10,ON-GRID
17,11,ON-GRID
18,12,ON-GRID
19,13,ON-GRID
20,14,ON-GRID
21,15,ON-GRID
22,16,ON-GRID
23,17,ON-GRID
24,18,ON-GRID
25,19,ON-GRID
26,19,GRIDZERO
27,20,ON-GRID
28,20,GRIDZERO
29,21,ON-GRID
30,21,GRIDZERO
31,22,ON-GRID
32,22,GRIDZERO
33,23,ON-GRID
34,23,GRIDZERO
35,24,ON-GRID
36,24,GRIDZERO
37,25,ON-GRID
38,25,GRIDZERO
39,26,ON-GRID
40,26,GRIDZERO
41,27,ON-GRID
42,27,GRIDZERO
43,28,ON-GRID
44,28,GRIDZERO
45,29,ON-GRID
46,29,GRIDZERO
47,30,ON-GRID
48,30,GRIDZERO
49,31,ON-GRID
50,31,GRIDZERO
51,32,ON-GRID
52,32,GRIDZERO
53,33,ON-GRID
54,33,GRIDZERO
55,34,ON-GRID
56,34,GRIDZERO
57,35,ON-GRID
58,35,GRIDZERO
59,36,ON-GRID
60,36,GRIDZERO
61,37,ON-GRID
62,37,GRIDZERO
63,38,ON-GRID
64,38,GRIDZERO
65,39,ON-GRID
66,39,GRIDZERO
67,40,ON-GRID
68,40,GRIDZERO
69,41,ON-GRID
70,41,GRIDZERO
71,42,ON-GRID
72,42,GRIDZERO
73,43,ON-GRID
74,43,GRIDZERO
75,44,ON-GRID
76,44,GRIDZERO
77,45,ON-GRID
78,45,GRIDZERO
79,46,ON-GRID
80,46,GRIDZERO
81,47,ON-GRID
82,47,GRIDZERO
83,48,ON-GRID
84,48,GRIDZERO
85,49,ON-GRID
86,49,GRIDZERO
87,50,ON-GRID
88,50,GRIDZERO
89,51,ON-GRID
90,51,GRIDZERO
91,52,ON-GRID
92,52,GRIDZERO
93,53,ON-GRID
94,53,GRIDZERO
95,54,ON-GRID
96,55,ON-GRID
97,56,ON-GRID
98,57,ON-GRID
99,58,ON-GRID
100,59,ON-GRID
101,60,ON-GRID
102,61,ON-GRID
103,62,ON-GRID
104,63,ON-GRID
105,64,ON-GRID
106,65,ON-GRID
107,66,ON-GRID
108,67,ON-GRID
109,68,ON-GRID
110,69,ON-GRID
111,70,ON-GRID
112,71,ON-GRID
113,72,ON-GRID
114,73,ON-GRID
115,74,ON-GRID
116,75,ON-GRID
117,76,ON-GRID
118,77,ON-GRID
119,78,ON-GRID
120,79,ON-GRID
121,80,ON-GRID
122,81,ON-GRID
123,82,ON-GRID
124,83,ON-GRID
125,84,ON-GRID
126,85,ON-GRID
127,86,ON-GRID
128,87,ON-GRID
129,88,ON-GRID
130,89,ON-GRID
131,90,ON-GRID
132,91,ON-GRID
133,92,ON-GRID
134,93,ON-GRID
135,94,ON-GRID
136,95,ON-GRID
137,96,ON-GRID
138,97,ON-GRID
139,98,ON-GRID
140,99,ON-GRID
141,100,ON-GRID
142,101,ON-GRID
143,102,ON-GRID
144,103,ON-GRID
145,104,ON-GRID
146,105,ON-GRID
147,106,ON-GRID
148,107,ON-GRID
149,108,ON-GRID
150,109,ON-GRID
151,110,ON-GRID
152,111,ON-GRID
153,112,ON-GRID
154,113,ON-GRID
155,114,ON-GRID
156,115,ON-GRID
157,116,ON-GRID
158,117,ON-GRID
159,118,ON-GRID
160,119,ON-GRID
161,120,ON-GRID
162,121,ON-GRID
163,122,ON-GRID
164,123,ON-GRID
165,124,ON-GRID
166,125,ON-GRID
167,126,ON-GRID
168,127,ON-GRID
169,128,ON-GRID
170,129,ON-GRID
171,130,ON-GRID
172,131,ON-GRID
173,132,ON-GRID
174,133,ON-GRID
175,134,ON-GRID
176,135,ON-GRID
177,136,ON-GRID
178,137,ON-GRID
179,138,ON-GRID
180,139,ON-GRID
181,140,ON-GRID
182,141,ON-GRID
183,142,ON-GRID
184,143,ON-GRID
185,144,ON-GRID
186,145,ON-GRID
187,146,ON-GRID
188,146,HYBRID
189,147,ON-GRID
190,147,HYBRID
191,148,ON-GRID
192,148,HYBRID
193,149,ON-GRID
194,149,HYBRID
195,150,ON-GRID
196,150,HYBRID
197,151,ON-GRID
198,151,HYBRID
199,152,ON-GRID
200,152,HYBRID
201,153,ON-GRID
202,153,HYBRID
203,154,ON-GRID
204,154,HYBRID
205,155,ON-GRID
206,155,HYBRID
207,156,ON-GRID
208,156,HYBRID
209,157,ON-GRID
210,157,HYBRID
211,158,ON-GRID
212,158,HYBRID
213,159,ON-GRID
214,159,HYBRID
215,160,ON-GRID
216,160,HYBRID
217,161,ON-GRID
218,161,HYBRID
219,162,ON-GRID
220,162,HYBRID
221,163,ON-GRID
222,163,HYBRID
223,164,ON-GRID
224,164,HYBRID
225,165,ON-GRID
226,165,HYBRID
227,166,ON-GRID
228,166,HYBRID
229,167,ON-GRID
230,167,HYBRID
231,168,ON-GRID
232,168,HYBRID
233,169,ON-GRID
234,169,HYBRID
235,170,ON-GRID
236,170,HYBRID
237,171,ON-GRID
238,171,HYBRID
239,172,ON-GRID
240,172,HYBRID
241,173,ON-GRID
242,173,HYBRID
243,174,ON-GRID
244,175,ON-GRID
245,176,ON-GRID
246,177,ON-GRID
247,178,ON-GRID
248,179,ON-GRID
249,180,ON-GRID
250,181,ON-GRID
251,182,ON-GRID
252,183,ON-GRID
253,184,ON-GRID
254,185,ON-GRID
255,186,ON-GRID
256,187,ON-GRID
257,188,ON-GRID
258,189,ON-GRID
259,190,ON-GRID
260,191,ON-GRID
261,192,ON-GRID
262,192,HYBRID
263,193,ON-GRID
264,193,HYBRID
265,194,ON-GRID
266,194,HYBRID
267,195,ON-GRID
268,195,HYBRID
269,196,ON-GRID
270,196,HYBRID
271,197,ON-GRID
272,197,HYBRID
273,198,ON-GRID
274,198,HYBRID
275,199,ON-GRID
276,200,ON-GRID
277,201,ON-GRID
278,201,GRIDZERO
279,202,ON-GRID
280,202,GRIDZERO
281,203,ON-GRID
282,203,GRIDZERO
283,204,ON-GRID
284,204,GRIDZERO
285,205,ON-GRID
286,205,GRIDZERO
287,206,ON-GRID
288,206,GRIDZERO
289,207,ON-GRID
290,207,GRIDZERO
291,208,ON-GRID
292,208,GRIDZERO
293,209,ON-GRID
294,209,GRIDZERO
295,210,ON-GRID
296,210,GRIDZERO
297,211,ON-GRID
298,211,GRIDZERO
299,212,ON-GRID
300,212,GRIDZERO
301,213,ON-GRID
302,213,GRIDZERO
303,214,ON-GRID
304,214,GRIDZERO
305,215,ON-GRID
306,215,GRIDZERO
307,216,ON-GRID
308,216,GRIDZERO
309,217,ON-GRID
310,217,GRIDZERO
311,218,ON-GRID
312,218,GRIDZERO
313,219,ON-GRID
314,219,GRIDZERO
315,220,ON-GRID
316,220,HYBRID
317,221,ON-GRID
318,221,HYBRID
319,222,ON-GRID
320,222,HYBRID
321,223,ON-GRID
322,223,HYBRID
323,224,ON-GRID
324,224,GRIDZERO
325,225,ON-GRID
326,225,GRIDZERO
327,226,ON-GRID
328,226,GRIDZERO
329,227,ON-GRID
330,227,GRIDZERO
331,228,ON-GRID
332,229,ON-GRID
333,230,ON-GRID
334,198,OFF-GRID
335,197,OFF-GRID
336,196,OFF-GRID
337,195,OFF-GRID
338,194,OFF-GRID
339,193,OFF-GRID
340,231,ON-GRID
341,231,OFF-GRID
342,231,GRIDZERO
343,231,HYBRID
344,232,HYBRID
345,232,GRIDZERO
346,232,OFF-GRID
347,232,ON-GRID
348,233,ON-GRID
349,233,GRIDZERO
350,233,OFF-GRID
351,233,HYBRID
352,234,ON-GRID
