ID,INVERTER_ID,COMMUNICATION_TYPE
1,1,WIFI
2,1,RS485
3,1,LED
4,2,WIFI
5,2,RS485
6,2,LED
7,3,WIFI
8,3,RS485
9,3,LED
10,4,WIFI
11,4,RS485
12,4,LED
13,5,WIFI
14,5,RS485
15,5,LED
16,6,WIFI
17,6,RS485
18,6,LED
19,7,RS485
20,7,DISPLAY
21,7,LED
22,7,USB
23,8,RS485
24,8,DISPLAY
25,8,LED
26,8,USB
27,9,RS485
28,9,DISPLAY
29,9,LED
30,9,USB
31,10,RS485
32,10,DISPLAY
33,10,LED
34,10,USB
35,11,RS485
36,11,DISPLAY
37,11,LED
38,11,USB
39,12,RS485
40,12,DISPLAY
41,12,LED
42,12,USB
43,13,RS485
44,13,DISPLAY
45,13,LED
46,13,USB
47,14,RS485
48,14,DISPLAY
49,14,LED
50,14,USB
51,15,RS485
52,15,LED
53,15,USB
54,16,RS485
55,16,LED
56,16,USB
57,17,RS485
58,17,LED
59,17,USB
60,18,RS485
61,18,LED
62,18,USB
63,19,WIFI
64,19,RS485
65,19,LED
66,20,WIFI
67,20,RS485
68,20,LED
69,21,WIFI
70,21,RS485
71,21,LED
72,22,WIFI
73,22,RS485
74,22,LED
75,23,WIFI
76,23,RS485
77,23,LED
78,24,WIFI
79,24,RS485
80,24,LED
81,25,WIFI
82,25,RS485
83,25,LED
84,26,WIFI
85,26,RS485
86,26,LED
87,27,WIFI
88,27,RS485
89,27,LED
90,28,WIFI
91,28,RS485
92,28,LED
93,29,WIFI
94,29,RS485
95,29,LED
96,30,WIFI
97,30,RS485
98,30,LED
99,31,WIFI
100,31,RS485
101,31,LED
102,32,WIFI
103,32,RS485
104,32,LED
105,33,WIFI
106,33,RS485
107,33,LED
108,34,WIFI
109,34,RS485
110,34,LED
111,35,WIFI
112,35,RS485
113,35,LED
114,36,RS485
115,36,LED
116,36,USB
117,37,RS485
118,37,LED
119,37,USB
120,38,RS485
121,38,LED
122,38,USB
123,39,RS485
124,39,LED
125,39,USB
