ID,INVERTER_ID,OUTPUT_MODE
1,1,SINGLE_PHASE
2,2,SINGLE_PHASE
3,3,SINGLE_PHASE
4,4,SINGLE_PHASE
5,5,SINGLE_PHASE
6,6,SINGLE_PHASE
7,7,THREE_PHASE_FOUR_WIRE
8,8,THREE_PHASE_FOUR_WIRE
9,9,THREE_PHASE_FOUR_WIRE
10,10,THREE_PHASE_FOUR_WIRE
11,11,THREE_PHASE_FOUR_WIRE
12,12,THREE_PHASE_FOUR_WIRE
13,13,THREE_PHASE_FOUR_WIRE
14,14,THREE_PHASE_THREE_WIRE
15,15,THREE_PHASE_THREE_WIRE
16,15,THREE_PHASE_FOUR_WIRE
17,16,THREE_PHASE_THREE_WIRE
18,16,THREE_PHASE_FOUR_WIRE
19,17,THREE_PHASE_THREE_WIRE
20,17,THREE_PHASE_FOUR_WIRE
21,18,THREE_PHASE_THREE_WIRE
22,19,THREE_PHASE_THREE_WIRE
23,19,THREE_PHASE_FOUR_WIRE
24,20,THREE_PHASE_THREE_WIRE
25,20,THREE_PHASE_FOUR_WIRE
26,21,THREE_PHASE_THREE_WIRE
27,21,THREE_PHASE_FOUR_WIRE
28,22,THREE_PHASE_THREE_WIRE
29,22,THREE_PHASE_FOUR_WIRE
30,23,THREE_PHASE_THREE_WIRE
31,23,THREE_PHASE_FOUR_WIRE
32,24,THREE_PHASE_THREE_WIRE
33,24,THREE_PHASE_FOUR_WIRE
34,25,THREE_PHASE_THREE_WIRE
35,25,THREE_PHASE_FOUR_WIRE
36,26,THREE_PHASE_THREE_WIRE
37,26,THREE_PHASE_FOUR_WIRE
38,27,THREE_PHASE_THREE_WIRE
39,27,THREE_PHASE_FOUR_WIRE
40,28,THREE_PHASE_THREE_WIRE
41,28,THREE_PHASE_FOUR_WIRE
42,29,THREE_PHASE_THREE_WIRE
43,29,THREE_PHASE_FOUR_WIRE
44,30,THREE_PHASE_THREE_WIRE
45,30,THREE_PHASE_FOUR_WIRE
46,31,THREE_PHASE_FOUR_WIRE
47,32,THREE_PHASE_FOUR_WIRE
48,33,THREE_PHASE_FOUR_WIRE
49,34,THREE_PHASE_FOUR_WIRE
50,35,THREE_PHASE_FOUR_WIRE
51,36,THREE_PHASE_THREE_WIRE
52,36,THREE_PHASE_FOUR_WIRE
53,37,THREE_PHASE_THREE_WIRE
54,37,THREE_PHASE_FOUR_WIRE
55,38,THREE_PHASE_THREE_WIRE
56,38,THREE_PHASE_FOUR_WIRE
57,39,THREE_PHASE_THREE_WIRE
58,39,THREE_PHASE_FOUR_WIRE
59,40,THREE_PHASE_THREE_WIRE
60,40,THREE_PHASE_FOUR_WIRE
61,41,THREE_PHASE_THREE_WIRE
62,41,THREE_PHASE_FOUR_WIRE
63,42,THREE_PHASE_THREE_WIRE
64,43,THREE_PHASE_THREE_WIRE
