ID,MODEL,MANUFACTURER_ID,DIM_WIDTH,DIM_HEIGHT,DIM_DEPTH,DIM_WEIGHT,WP,VMPP,IMPP,VOC,ISC,SOLAR_CELLS,CELL_TYPE,SURFACE_TYPE,COEF_PMAX,COEF_VOC,COEF_ISC,ACTIVE
1,CHSM72M-HC-405,6,2018.0,1002.0,35.0,22.6,405,41.59,9.74,49.53,10.31,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.28,0.035,0
2,CHSM72M-HC-410,6,2018.0,1002.0,35.0,22.6,410,41.85,9.8,49.8,10.38,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.28,0.035,0
3,CHSM72M-HC-415,6,2018.0,1002.0,35.0,22.6,415,42.11,9.86,50.06,10.45,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.28,0.035,0
4,CHSM72M-HC-420,6,2018.0,1002.0,35.0,22.6,420,42.35,9.92,50.32,10.52,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.28,0.035,0
5,BYD335PIK-36,7,2008.0,1002.0,35.0,21.8,335,38.1,8.79,45.44,9.25,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.285,0.057,0
6,BYD340PIK-36,7,2008.0,1002.0,35.0,21.8,340,38.36,8.86,45.69,9.31,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.285,0.057,0
7,BYD345PIK-36,7,2008.0,1002.0,35.0,21.8,345,38.62,8.93,45.94,9.36,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.285,0.057,0
8,BYD350PIK-36,7,2008.0,1002.0,35.0,21.8,350,38.87,9.0,46.19,9.42,POLICRISTALINO,HALF CELL,MONOFACIAL,-0.35,-0.285,0.057,0
9,TSM-390DE09,15,1754.0,1096.0,30.0,21.0,390,33.8,11.54,40.8,12.14,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
10,TSM-395DE09,15,1754.0,1096.0,30.0,21.0,395,34.0,11.62,41.0,12.21,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
11,TSM-400DE09,15,1754.0,1096.0,30.0,21.0,400,34.2,11.7,41.2,12.28,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
12,TSM-405DE09,15,1754.0,1096.0,30.0,21.0,405,34.4,11.77,41.4,12.34,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
13,TSM-485DE18,15,2187.0,1102.0,35.0,26.5,485,42.2,11.49,51.1,12.07,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
14,TSM-490DE18,15,2187.0,1102.0,35.0,26.5,490,42.4,11.56,51.3,12.14,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
15,TSM-495DE18,15,2187.0,1102.0,35.0,26.5,495,42.6,11.63,51.5,12.21,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
16,TSM-500DE18,15,2187.0,1102.0,35.0,26.5,500,42.8,11.69,51.7,12.28,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
17,TSM-505DE18,15,2187.0,1102.0,35.0,26.5,505,43.0,11.75,51.9,12.35,MONOCRISTALINO,HALF CELL,MONOFACIAL,-0.34,-0.25,0.04,0
