ID,INVERTER_ID,MPPT_INDEX,NUMBER_OF_INPUTS,MAX_INPUT_VOLTAGE,MIN_STARTUP_VOLTAGE,MAX_OPERATING_VOLTAGE,MIN_OPERATING_VOLTAGE,MAX_FULL_LOAD_VOLTAGE,MIN_FULL_LOAD_VOLTAGE,RATED_INPUT_VOLTAGE,MAX_SHORT_CIRCUIT_CURRENT,MAX_OPERATING_CURRENT
1,1,0,1,600,120,500,90,480,120,380,15.0,11.0
2,2,0,1,600,120,500,90,480,160,380,15.0,11.0
3,3,0,1,600,120,500,90,480,190,380,15.0,11.0
4,4,0,1,600,120,500,90,480,210,380,15.0,11.0
5,5,0,1,600,120,500,90,480,260,380,15.0,11.0
6,6,0,1,600,120,500,90,480,260,380,15.0,11.0
7,7,0,2,1000,250,950,200,800,320,-1,25.0,18.0
8,8,0,2,1000,250,950,200,800,320,-1,25.0,18.0
9,9,0,2,1000,250,950,200,800,380,-1,25.0,18.0
10,10,0,2,1000,250,950,200,800,400,-1,25.0,18.0
11,11,0,2,1000,250,950,200,800,400,-1,25.0,18.0
12,12,0,2,1000,250,950,200,800,480,-1,25.0,18.0
13,13,0,2,1000,250,950,200,800,480,-1,25.0,18.0
14,14,0,2,1000,250,950,200,800,520,-1,25.0,18.0
15,15,0,2,1100,250,1000,200,800,480,620,30.0,22.0
16,16,0,2,1100,250,1000,200,800,480,620,30.0,22.0
17,17,0,2,1100,250,1000,200,800,480,620,30.0,22.0
18,18,0,2,1100,250,1000,200,850,580,620,30.0,22.0
19,19,0,2,1080,200,950,160,850,320,600,30.0,22.0
20,20,0,2,1080,200,950,160,850,320,600,30.0,22.0
21,21,0,2,1080,200,950,160,850,380,600,30.0,22.0
22,22,0,2,1080,200,950,160,850,380,600,30.0,22.0
23,23,0,2,1080,200,950,160,850,400,600,30.0,22.0
24,24,0,2,1080,200,950,160,850,480,600,30.0,22.0
25,25,0,2,1080,200,950,160,850,320,600,30.0,22.0
26,26,0,2,1080,200,950,160,850,320,600,30.0,22.0
27,27,0,2,1080,200,950,160,850,380,600,30.0,22.0
28,28,0,2,1080,200,950,160,850,380,600,30.0,22.0
29,29,0,2,1080,200,950,160,850,400,600,30.0,22.0
30,30,0,2,1080,200,950,160,850,480,600,30.0,22.0
31,31,0,2,800,200,750,200,550,300,350,40.0,26.0
32,32,0,2,1100,200,1000,200,800,500,600,40.0,26.0
33,33,0,2,1100,200,1000,200,800,500,600,40.0,26.0
34,34,0,2,1100,200,1000,200,800,520,600,40.0,26.0
35,35,0,2,1100,200,1000,200,800,540,600,40.0,26.0
36,36,0,2,1100,200,1000,200,800,520,-1,30.0,22.0
37,37,0,2,1100,200,1000,200,800,520,-1,30.0,22.0
38,38,0,2,1100,200,1000,200,850,600,-1,30.0,22.0
39,39,0,2,1100,200,1000,200,800,540,600,40.0,26.0
40,40,0,2,1100,200,1000,200,800,540,600,40.0,26.0
41,41,0,2,1100,200,1000,200,800,540,600,40.0,26.0
42,42,0,2,1100,200,1000,200,850,625,750,40.0,26.0
43,43,0,2,1100,200,1000,200,800,540,570,40.0,26.0
44,44,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
45,45,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
46,46,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
47,47,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
48,48,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
49,49,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
50,50,0,2,1500,650,1500,600,1300,880,1080,33.0,22.0
51,51,0,2,1500,550,1500,500,-1,-1,1080,50.0,30.0
52,52,0,2,1500,550,1500,500,-1,-1,1080,50.0,30.0
53,53,0,2,1500,550,1500,500,-1,-1,1080,50.0,30.0
54,54,0,1,500,40,450,40,450,40,360,15.6,12.5
55,55,0,1,500,40,450,40,450,40,360,15.6,12.5
56,56,0,1,500,50,450,50,-1,-1,360,15.6,12.5
57,57,0,1,500,50,450,50,-1,-1,360,15.6,12.5
58,58,0,1,500,50,450,50,-1,-1,360,15.6,12.5
59,59,0,1,500,50,450,50,-1,-1,360,15.6,12.5
60,60,0,1,500,50,450,50,-1,-1,360,15.6,12.5
61,61,0,1,600,50,550,50,-1,-1,360,16.3,13.0
62,62,0,1,600,50,550,50,-1,-1,360,16.3,13.0
63,63,0,1,600,120,550,80,550,80,360,15.0,12.5
